fecha,departamento,enCurso,cantCasosNuevos,cantFallecidos,acumFallecidos,cantRecuperados,acumRecuperados,acumCasos
16/05/2020,Maldonado (UY-MA ),13,0,0,4,0,22,39
16/05/2020,Montevideo (UY-MO ),113,1,0,13,5,405,531
16/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
16/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
16/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
16/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
16/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
16/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
16/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
16/05/2020,Tacuarembó (UY-TA ),0,0,0,0,0,0,0
16/05/2020,Treinta y Tres (UY-TT ),8,0,0,0,0,4,12
17/05/2020,Artigas (UY-AR ),0,0,0,0,0,0,0
17/05/2020,Canelones (UY-CA ),15,0,0,2,0,87,104
17/05/2020,Cerro Largo (UY-CL ),0,0,0,0,0,0,0
17/05/2020,Colonia (UY-CO ),2,0,0,0,0,8,10
17/05/2020,Durazno (UY-DU ),0,0,0,0,0,1,1
17/05/2020,Flores (UY-FS ),0,0,0,0,0,1,1
17/05/2020,Florida (UY-FD ),0,0,0,0,0,0,0
17/05/2020,Lavalleja (UY-LA ),0,0,0,0,0,4,4
17/05/2020,Maldonado (UY-MA ),13,0,0,4,0,22,39
17/05/2020,Montevideo (UY-MO ),107,1,1,14,6,411,532
17/05/2020,Paysandú (UY-PA ),0,0,0,0,0,1,1
17/05/2020,Río Negro (UY-RN ),1,0,0,0,0,8,9
17/05/2020,Rivera (UY-RV ),2,0,0,0,0,0,2
17/05/2020,Rocha (UY-RO ),0,0,0,0,0,1,1
17/05/2020,Salto (UY-SA ),0,0,0,0,0,12,12
17/05/2020,San José (UY-SJ ),2,0,0,0,0,3,5
17/05/2020,Soriano (UY-SO ),0,0,0,0,0,1,1
